dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-15 09:29:52.0345,1.6097,-3.5073,-9.3831,-13.63,-2.91,-0.13
1999-01-15 09:29:52.1035,1.7121,-3.6156,-9.4525,-25.19,-19.51,10.12
1999-01-15 09:29:52.1725,0.8007,-3.3313,-9.3107,-39.58,-45.56,1.46
1999-01-15 09:29:52.2415,1.0747,-3.4875,-8.3484,-24.45,7.46,21.67
1999-01-15 09:29:52.3105,0.4063,-2.9717,-9.781,-9.35,-8.84,9.07
1999-01-15 09:29:52.3795,-0.6211,-2.1321,-9.3675,12.06,-17.13,-3.2
1999-01-15 09:29:52.4485,-0.3842,-3.1339,-9.4226,16.23,10.24,4.48
1999-01-15 09:29:52.5175,0.082,-2.864,-9.6727,3.47,2.61,0.17
1999-01-15 09:29:52.5865,-0.4309,-3.1255,-9.6368,8.0,-3.54,-7.86
1999-01-15 09:29:52.6555,0.304,-3.6916,-9.866,12.22,-0.57,-3.22
1999-01-15 09:29:52.7245,0.0652,-3.3906,-9.2233,16.65,4.06,-0.94
1999-01-15 09:29:52.7935,0.4171,-4.1631,-8.8236,4.97,6.25,-1.22
1999-01-15 09:29:52.8624,0.0718,-3.5952,-9.3561,-8.52,-4.24,5.24
1999-01-15 09:29:52.9314,0.0126,-3.3415,-9.2658,-11.27,2.33,5.73
1999-01-15 09:29:53.0004,-0.4446,-3.5055,-9.9139,-7.14,-4.24,12.74
1999-01-15 09:29:53.0694,-0.0168,-4.4611,-9.7756,12.84,11.82,-5.01
1999-01-15 09:29:53.1384,-1.2926,-4.2062,-9.7391,-4.53,17.86,-5.96
1999-01-15 09:29:53.2074,0.0365,-3.6126,-9.4585,4.23,10.85,-0.88
1999-01-15 09:29:53.2764,0.1005,-4.0955,-8.741,3.23,22.5,-4.81
1999-01-15 09:29:53.3454,-0.4362,-3.755,-9.3639,-13.5,-0.76,7.4
1999-01-15 09:29:53.4154,-0.3734,-3.1129,-9.5692,-8.34,-17.72,23.35
1999-01-15 09:29:53.4846,-0.6876,-3.5839,-9.7248,-5.55,-5.18,22.9
1999-01-15 09:29:53.5538,-0.5763,-3.6545,-9.8002,-2.28,-2.13,11.02
1999-01-15 09:29:53.6230,-1.0119,-3.4205,-9.8684,-7.84,1.65,14.63
1999-01-15 09:29:53.6922,-0.7414,-3.0866,-8.8631,-7.01,-5.33,21.41
1999-01-15 09:29:53.7614,-0.8114,-3.0525,-9.936,-2.17,-30.07,17.9
